id,coord_x,coord_y,temp,cond,Cl,Ca,Si,Na,K,Mg
Termal Sitio U-1,-85.3932,10.7821,46.5,523.0,9.8,58.9,157.0,57.7,11.2,16.9
Termal CTP-3,-85.348,10.7448,46.0,912.0,15.0,79.0,150.0,107.0,14.0,45.0
Termal CTP-2,-85.3482,10.7448,46.0,915.0,16.2,78.4,150.0,104.2,10.6,46.3
Termal Guayabal,-85.3202,10.8262,59.0,728.0,104.0,3344.0,265.0,55.0,3.0,37.0
Termal G-15,-85.3501,10.7601,52.2,680.0,22.4,110.2,145.0,68.3,12.4,20.1
Termal G-07,-85.3301,10.8002,55.3,702.0,45.1,210.0,189.0,72.5,13.2,25.7
Termal Rincón-4,-85.3722,10.7705,63.8,790.0,18.8,120.4,201.0,80.0,15.7,28.0
Termal Quebrada-2,-85.3105,10.8503,49.1,610.0,12.9,66.7,133.0,50.0,9.8,18.0
Termal Vaho-1,-85.365,10.795,71.2,850.0,22.0,140.0,205.0,88.0,17.5,30.4
Termal Vaho-2,-85.36,10.79,74.8,890.0,26.4,155.0,215.0,92.0,18.1,28.9
Termal Poza-1,-85.355,10.785,67.3,820.0,18.2,110.3,176.0,69.1,12.9,22.3
Termal Poza-2,-85.358,10.781,69.1,830.0,19.4,115.0,182.0,72.4,13.1,23.0
Termal Fumarola-3,-85.341,10.77,89.3,940.0,45.7,230.0,310.0,110.0,21.4,35.5
Termal Fumarola-1,-85.343,10.772,92.5,980.0,49.2,245.0,330.0,115.0,22.3,34.8
Termal Fumarola-2,-85.3445,10.774,87.1,960.0,43.5,225.0,298.0,108.0,20.7,33.1
Termal Quebrada-5,-85.299,10.86,44.8,540.0,9.1,60.0,142.0,49.0,8.1,16.7
Termal Quebrada-7,-85.3015,10.8581,47.3,565.0,10.4,62.3,148.0,53.2,8.8,17.5
Termal Quebrada-8,-85.3039,10.856,50.1,590.0,12.2,65.1,152.3,55.0,9.2,18.1
Termal Lodo-1,-85.37,10.81,78.4,910.0,28.8,170.5,250.0,95.3,18.4,30.0
Termal Lodo-2,-85.372,10.812,80.2,920.0,29.9,175.0,255.0,98.0,18.9,29.2
Termal Lodo-3,-85.368,10.808,76.0,905.0,27.5,168.2,242.0,90.1,17.2,28.4
Termal Río-1,-85.31,10.83,53.0,640.0,14.8,72.0,160.0,60.1,10.2,18.8
Termal Río-2,-85.312,10.833,54.2,650.0,15.1,73.0,162.0,61.0,10.5,19.0
Termal Río-3,-85.315,10.8355,55.9,665.0,15.7,75.5,165.0,62.3,10.9,19.5
Termal Hornillas-1,-85.34,10.82,88.0,970.0,40.3,210.0,295.0,106.2,20.9,33.0
Termal Hornillas-2,-85.341,10.822,85.6,950.0,38.8,205.4,288.0,103.5,20.4,32.4
Termal Hornillas-3,-85.3425,10.8235,90.1,980.0,41.2,215.3,305.0,112.1,22.0,34.1
Termal Azul-1,-85.32,10.81,61.5,720.0,17.0,98.0,175.0,66.0,12.0,21.7
Termal Azul-2,-85.322,10.8115,63.1,730.0,17.8,100.2,178.3,67.3,12.3,22.1
Termal Azul-3,-85.3185,10.809,60.2,715.0,16.4,95.7,172.0,64.1,11.7,21.0
Termal Guayabal_synt_169079,-85.32187349596013,10.826202582280072,59.79940724697527,714.4392594007082,101.33575416810497,3458.47962809897,262.29422907493495,59.44265950996367,3.03603529149403,39.47601642401302
Termal Lodo-2_synt_648870,-85.36829297633886,10.811918179359543,73.17562577245585,912.7570820833247,29.5945686205847,176.49226084619806,233.8749546405053,95.61660926045616,20.309228145587536,28.23417441399818
Termal Lodo-1_synt_574264,-85.36416252729926,10.810670387352662,78.81878203085188,981.5473808365093,28.804526722470435,173.6345541278589,262.26226459749546,97.23247349804628,18.89047544546533,31.566247624891965
Termal Fumarola-2_synt_154249,-85.34595282891732,10.775644047243425,95.18011762605532,966.8610449003295,42.29826723672547,214.73675705073654,312.2718952989963,99.09401902840337,20.217722444800074,33.81086553249972
Termal Poza-1_synt_340078,-85.35990130800528,10.788900340928365,67.85517192173397,776.125326810346,18.01040881463861,122.17867403983131,180.14222138617706,70.21794259762284,13.194178051766462,22.33660358235624
Termal Río-3_synt_680111,-85.31657051207716,10.837791048369983,60.66284442389808,643.5413630472733,15.837221928754268,68.6904464936764,171.22715243670484,66.61444460326784,11.540943018650632,18.610691060203827
Termal Lodo-1_synt_719882,-85.36422774525985,10.805234270879483,72.20663837980989,941.9911728863445,31.054518281207738,154.5696233432422,256.5758389368878,95.5504725116722,17.836887371795413,29.05872034237088
Termal Azul-2_synt_358836,-85.32284527696908,10.809148365209033,59.49307481770339,700.781529797198,18.48939895716345,94.82016179477205,180.50752704666868,71.33691172281631,12.361526675416815,23.939229312888326
Termal Quebrada-7_synt_448721,-85.30093741852944,10.855198147366142,46.008227214147304,561.5063971191368,10.404566623089675,63.47288314831125,157.77848844263713,52.28029508400192,8.971932242538015,16.30638179011344
