id,coord_x,coord_y,temp,cond,Cl,Ca,Si,Na,K,Mg
Termal Sitio U-1,-85.3932,10.7821,46.5,523.0,9.8,58.9,157.0,57.7,11.2,16.9
Termal CTP-3,-85.348,10.7448,46.0,912.0,15.0,79.0,150.0,107.0,14.0,45.0
Termal CTP-2,-85.3482,10.7448,46.0,915.0,16.2,78.4,150.0,104.2,10.6,46.3
Termal Guayabal,-85.3202,10.8262,59.0,728.0,104.0,3344.0,265.0,55.0,3.0,37.0
Termal G-15,-85.3501,10.7601,52.2,680.0,22.4,110.2,145.0,68.3,12.4,20.1
Termal G-07,-85.3301,10.8002,55.3,702.0,45.1,210.0,189.0,72.5,13.2,25.7
Termal Rincón-4,-85.3722,10.7705,63.8,790.0,18.8,120.4,201.0,80.0,15.7,28.0
Termal Quebrada-2,-85.3105,10.8503,49.1,610.0,12.9,66.7,133.0,50.0,9.8,18.0
Termal Vaho-1,-85.365,10.795,71.2,850.0,22.0,140.0,205.0,88.0,17.5,30.4
Termal Vaho-2,-85.36,10.79,74.8,890.0,26.4,155.0,215.0,92.0,18.1,28.9
Termal Poza-1,-85.355,10.785,67.3,820.0,18.2,110.3,176.0,69.1,12.9,22.3
Termal Poza-2,-85.358,10.781,69.1,830.0,19.4,115.0,182.0,72.4,13.1,23.0
Termal Fumarola-3,-85.341,10.77,89.3,940.0,45.7,230.0,310.0,110.0,21.4,35.5
Termal Fumarola-1,-85.343,10.772,92.5,980.0,49.2,245.0,330.0,115.0,22.3,34.8
Termal Fumarola-2,-85.3445,10.774,87.1,960.0,43.5,225.0,298.0,108.0,20.7,33.1
Termal Quebrada-5,-85.299,10.86,44.8,540.0,9.1,60.0,142.0,49.0,8.1,16.7
Termal Quebrada-7,-85.3015,10.8581,47.3,565.0,10.4,62.3,148.0,53.2,8.8,17.5
Termal Quebrada-8,-85.3039,10.856,50.1,590.0,12.2,65.1,152.3,55.0,9.2,18.1
Termal Lodo-1,-85.37,10.81,78.4,910.0,28.8,170.5,250.0,95.3,18.4,30.0
Termal Lodo-2,-85.372,10.812,80.2,920.0,29.9,175.0,255.0,98.0,18.9,29.2
Termal Lodo-3,-85.368,10.808,76.0,905.0,27.5,168.2,242.0,90.1,17.2,28.4
Termal Río-1,-85.31,10.83,53.0,640.0,14.8,72.0,160.0,60.1,10.2,18.8
Termal Río-2,-85.312,10.833,54.2,650.0,15.1,73.0,162.0,61.0,10.5,19.0
Termal Río-3,-85.315,10.8355,55.9,665.0,15.7,75.5,165.0,62.3,10.9,19.5
Termal Hornillas-1,-85.34,10.82,88.0,970.0,40.3,210.0,295.0,106.2,20.9,33.0
Termal Hornillas-2,-85.341,10.822,85.6,950.0,38.8,205.4,288.0,103.5,20.4,32.4
Termal Hornillas-3,-85.3425,10.8235,90.1,980.0,41.2,215.3,305.0,112.1,22.0,34.1
Termal Azul-1,-85.32,10.81,61.5,720.0,17.0,98.0,175.0,66.0,12.0,21.7
Termal Azul-2,-85.322,10.8115,63.1,730.0,17.8,100.2,178.3,67.3,12.3,22.1
Termal Azul-3,-85.3185,10.809,60.2,715.0,16.4,95.7,172.0,64.1,11.7,21.0
Termal Azul-2_synt_246541,-85.31658206080526,10.811261105010347,67.74159347998072,750.7810419583752,18.518667135573416,92.22142491185465,185.9847599596758,70.62115590590821,12.019779102031078,24.221232474224887
Termal CTP-3_synt_694452,-85.34004034788005,10.74358471402415,41.770679878846195,933.2321766441196,15.26199067348207,80.11340107790348,151.33976435566908,101.54223398534248,14.63398827863617,39.523099541571874
Termal Fumarola-1_synt_492450,-85.34346582015522,10.768660141614317,92.54990304292167,960.4808566519778,46.315405585564385,238.04989166351515,332.3168676380223,107.59978170227967,22.534610310812386,33.74657846588157
Termal Fumarola-2_synt_284270,-85.34355876970722,10.769494822560867,81.9836185445658,950.1194074083467,41.15385267156339,218.60372111267228,313.28854542070616,114.66837307421609,21.45519704405079,33.46962562584364
Termal Vaho-2_synt_954883,-85.3548293954692,10.792067833245236,76.64980350247897,847.546212240751,26.36819657215906,166.60634943956367,202.23451756040262,98.50575719303424,20.117754793136385,28.69645755857936
Termal Río-1_synt_681381,-85.30925440573719,10.822162928363042,50.37120993729172,643.7578247663226,15.740485343376502,73.89998301577779,161.40567486069648,61.0594895862607,9.586544406661083,18.441063004158046
Termal CTP-2_synt_470727,-85.34583915875622,10.747103917210092,44.716646969251364,848.2613743205071,16.884223727511188,79.07161130569888,157.57494539632486,101.96786917410616,10.42219996728904,43.694313085388885
Termal Fumarola-2_synt_412088,-85.34255785284829,10.771810983787365,79.69385431188492,961.5319193076999,42.87693501083734,237.83136798119085,301.47204858484577,115.55796312476676,20.78282538473164,30.260032214685516
Termal Lodo-1_synt_963318,-85.36863945067533,10.810268277740963,76.11487282031297,964.7165806571402,26.886807670146393,178.67526333003113,241.80305896049964,90.77391434609387,18.904134640216082,30.48292511662364
