id,coord_x,coord_y,temp,cond,Cl,Ca,Si,Na,K,Mg
Termal Sitio U-1,-85.3932,10.7821,46.5,523,9.8,58.9,157,57.7,11.2,16.9
Termal CTP-3,-85.3480,10.7448,46.0,912,15.0,79.0,150,107.0,14.0,45.0
Termal CTP-2,-85.3482,10.7448,46.0,915,16.2,78.4,150,104.2,10.6,46.3
Termal Guayabal,-85.3202,10.8262,59.0,728,104.0,3344.0,265.0,55.0,3.0,37.0
Termal G-15,-85.3501,10.7601,52.2,680,22.4,110.2,145.0,68.3,12.4,20.1
Termal G-07,-85.3301,10.8002,55.3,702,45.1,210.0,189.0,72.5,13.2,25.7
Termal Rincón-4,-85.3722,10.7705,63.8,790,18.8,120.4,201.0,80.0,15.7,28.0
Termal Quebrada-2,-85.3105,10.8503,49.1,610,12.9,66.7,133.0,50.0,9.8,18.0
Termal Vaho-1,-85.3650,10.7950,71.2,850,22.0,140.0,205.0,88.0,17.5,30.4
Termal Vaho-2,-85.3600,10.7900,74.8,890,26.4,155.0,215.0,92.0,18.1,28.9
Termal Poza-1,-85.3550,10.7850,67.3,820,18.2,110.3,176.0,69.1,12.9,22.3
Termal Poza-2,-85.3580,10.7810,69.1,830,19.4,115.0,182.0,72.4,13.1,23.0
Termal Fumarola-3,-85.3410,10.7700,89.3,940,45.7,230.0,310.0,110.0,21.4,35.5
Termal Fumarola-1,-85.3430,10.7720,92.5,980,49.2,245.0,330.0,115.0,22.3,34.8
Termal Fumarola-2,-85.3445,10.7740,87.1,960,43.5,225.0,298.0,108.0,20.7,33.1
Termal Quebrada-5,-85.2990,10.8600,44.8,540,9.1,60.0,142.0,49.0,8.1,16.7
Termal Quebrada-7,-85.3015,10.8581,47.3,565,10.4,62.3,148.0,53.2,8.8,17.5
Termal Quebrada-8,-85.3039,10.8560,50.1,590,12.2,65.1,152.3,55.0,9.2,18.1
Termal Lodo-1,-85.3700,10.8100,78.4,910,28.8,170.5,250.0,95.3,18.4,30.0
Termal Lodo-2,-85.3720,10.8120,80.2,920,29.9,175.0,255.0,98.0,18.9,29.2
Termal Lodo-3,-85.3680,10.8080,76.0,905,27.5,168.2,242.0,90.1,17.2,28.4
Termal Río-1,-85.3100,10.8300,53.0,640,14.8,72.0,160.0,60.1,10.2,18.8
Termal Río-2,-85.3120,10.8330,54.2,650,15.1,73.0,162.0,61.0,10.5,19.0
Termal Río-3,-85.3150,10.8355,55.9,665,15.7,75.5,165.0,62.3,10.9,19.5
Termal Hornillas-1,-85.3400,10.8200,88.0,970,40.3,210.0,295.0,106.2,20.9,33.0
Termal Hornillas-2,-85.3410,10.8220,85.6,950,38.8,205.4,288.0,103.5,20.4,32.4
Termal Hornillas-3,-85.3425,10.8235,90.1,980,41.2,215.3,305.0,112.1,22.0,34.1
Termal Azul-1,-85.3200,10.8100,61.5,720,17.0,98.0,175.0,66.0,12.0,21.7
Termal Azul-2,-85.3220,10.8115,63.1,730,17.8,100.2,178.3,67.3,12.3,22.1
Termal Azul-3,-85.3185,10.8090,60.2,715,16.4,95.7,172.0,64.1,11.7,21.0
